rule,expression,fixed,extpos
som_VB,som synes,No,"advmod(X, VB), mark(VB, SC)"
till_att_börja_med,till att börja med,No,"advcl(X, VB), mark(börja, till), mark(börja, att), obl(börja, med)"
VAD_EXPL_VB,vad det gäller,No,"advcl(X, gäller), nsubj(gäller, vad), expl(gäller, det)"
VAR_ORD,var femte,No,"det(X, var), amod(X, JJ) eller det(JJ, var)"
VAR_ORD,var fjärde,No,"det(X, var), amod(X, JJ) eller det(JJ, var)"
VAR_ORD,var tionde,No,"det(X, var), amod(X, JJ) eller det(JJ, var)"
VAR_ORD,var tredje,No,"det(X, var), amod(X, JJ) eller det(JJ, var)"
VAR_PS,var sin,No,"det(sin, var) + nmod:poss(X, sin) om ""var sin"" som fixed är det"
VAR_PS,var sitt,No,"det(sin, var) + nmod:poss(X, sin) om ""var sin"" som fixed är det"
VB_P,bortsett från,No,"obl(VB, X), case(X, P) eller advcl(VB, X), mark(X, P)"
VB_P,jämfört med,No,"obl(VB, X), case(X, P) eller advcl(VB, X), mark(X, P)"
VB_PR,förbanne mig,No,"advcl(X, VB), obj(VB, PR)"
VB_PR_PR_VB_VB,kosta vad det kosta ville,No,"obj(kosta1, vad), acl:relcl(vad, kosta2), nsubj(kosta2, det), au(kosta2, ville)"
X_att,efter att,No,"mark(Y, efter), mark(Y, att)"
X_att,trots att,No,"mark(Y, efter), mark(Y, att)"
X_att,för att,No,"mark(Y, för), mark(Y, att)"
X_att,så att,No,"mark(Y, så), mark(Y, att)"
X_att,från det,No,"mark(Y, X), mark(Y, det)"
X_att,på det,No,"mark(Y, X), mark(Y, det)"
X_GAP_X,såväl som,No,"cc(X1, CC1), cc(X2, CC2), conj(X1, X2)"
X_SÅ1,aldrig så,No,"advmod(så, ADV)"
X_SÅ1,nog så,No,"advmod(så, ADV)"
X_SÅ2,rätt så,No,"advmod(X, så), advmod(X, ADV)"
